Row Labels,State millenials population percentage (25 - 34),State late adult population percentage (55-64),State adult Tertiary Education Rate (25+ years old) ,State unemployment Rate (16+ years old),"State percentage of management, business, science, and arts  workers (16+ years old)","State percentage of natural resources, construction, and maintenance workers (16+ years old)","State percentage of production, transportation, and material moving workers",State percentage of manufacturing workers (16+ years old),"State percentage of agriculture, forestry, fishing and hunting, and mining workers (16+ years old)","State percentage of professional, scientific, and management, and administrative and waste management services workers (16+ years old)","State percentage of finance and insurance, and real estate and rental and leasing workers (16+ years old)",State inflation-adjusted average household income (2019),State household percentage with cash public assistance as income(2019),States poverty rate (percent of population)
Alabama,13,13.3,29.8,4.9,35.9,9.4,17.9,14.5,1.2,9.6,5.6,51734,1.4,15.5
Alaska,16.1,13,34.6,5.8,38.3,11.4,13.4,4.2,4.9,8.9,4.3,75463,6,10.1
Arizona,13.8,12.1,33.7,5.1,37.9,9.5,11.2,7,1.4,12.5,8.7,62055,1.5,13.5
Arkansas,12.8,12.8,29.3,4.8,33.9,10.1,18.3,13.8,2.8,7.5,4.6,48952,2.2,16.2
California,15.3,12.1,28.4,5.1,40.7,9,11.9,8.7,2.1,14.2,5.8,80440,2.8,11.8
Colorado,15.8,12.4,28.7,3.7,45.1,8.8,9.8,6.8,2.4,14.9,6.6,77127,2,9.3
Connecticut,12.5,14.5,24.1,5.3,44.7,7.2,10.2,9.9,0.4,11.3,8.7,78833,3,10
Delaware,13.2,14.1,26.9,4.6,40.5,9,11.6,6.9,1.3,11.5,9.6,70176,2.8,11.3
District of Columbia,23.3,9.9,16.4,6.3,67.8,2.8,3.2,1.1,0.2,24.5,6.1,92266,2.9,13.5
Florida,12.9,13.5,29.3,4.5,36.5,9.4,10.7,4.9,0.8,13.2,7.7,59227,2,12.7
Georgia,13.7,12.2,28,4.8,39.1,8.8,15,10.6,1,13.1,6.3,61980,1.4,13.3
Hawaii,13.8,12.6,31.3,3.9,36.1,9,9.1,2.9,1.5,10.9,6.1,83102,2.5,9.3
Idaho,13.1,12.3,36.6,3.3,35.5,11.5,13.6,9.6,4.6,9.2,5.4,60999,2.3,11.2
Illinois,13.8,13.1,28.1,4.8,40.7,7.3,14.7,11.8,1,12.3,7.2,69187,2,11.5
Indiana,13.2,13,28.7,4.2,35.1,8.9,19.4,18.5,1.3,8.3,5.3,57603,1.6,11.9
Iowa,12.7,13.3,32.3,3.7,37.8,9.7,17.4,15.1,3.7,7.7,7.5,61691,1.8,11.2
Kansas,13,12.8,31.5,3.8,40,9.7,14.4,12.6,3.1,10,6.1,62087,1.5,11.4
Kentucky,12.9,13.4,28.8,4.8,36.2,9.1,18.3,14.3,2,8.6,5.3,52295,1.7,16.3
Louisiana,13.8,13,27,5.5,35.4,11.1,12.8,7.3,3.8,9.3,5.1,51073,1.8,19
Maine,12.2,15.7,28.6,3.5,40.1,10.5,11.7,8.7,2.8,9.2,5.9,58924,2.4,10.9
Maryland,13.6,13.6,24.9,4.5,48,7.8,9.1,4.3,0.6,16,5.8,86738,2.2,9
Massachusetts,14.4,13.7,22.5,3.9,48.4,6.8,9.4,8.6,0.4,14.7,7,85843,2.8,9.4
Michigan,13,14,32.2,5,37.7,8.1,16.9,18.5,1.2,9.5,5.4,59584,2.2,13
Minnesota,13.6,13.4,31.9,3.2,42.8,7.9,13.9,13.4,2.1,10.1,7.1,74593,3,9
Mississippi,12.4,12.9,32.8,6.6,32.8,10.4,18.3,13.5,2.2,6.6,4.7,45792,1.8,19.6
Missouri,13.4,13.6,29.3,3.8,38.4,8.8,14.8,11.1,1.6,9.9,7.1,57409,1.5,12.9
Montana,12.5,14.2,32.2,4.1,39.1,11.5,11.2,4.9,6,9,5.2,57153,2.6,12.6
Nebraska,13.3,12.5,33.1,3.3,40,10.6,13.9,10.1,4.6,8.7,8,63229,1.6,9.9
Nevada,14.6,12.4,33.4,5.1,30.4,9.5,12.8,5,1.5,11.2,5.2,63276,2.6,12.5
New Hampshire,12.6,15.8,27.6,3,42.5,9.1,12.8,13.4,0.7,11.2,5.8,77933,2.2,7.3
New Jersey,12.9,13.8,22.2,4.7,44.9,7.3,11.5,8,0.4,13.7,8.6,85751,1.6,9.2
New Mexico,13.3,13,31.8,5.5,37.6,10.3,11,4.1,4.4,11.2,4.8,51945,3.6,18.2
New York,14.7,13.4,24,4.4,43.1,7.2,9.8,5.7,0.6,12.2,7.8,72108,3.5,13
North Carolina,13.4,13,30.7,4.6,39.3,9.5,14.2,11.8,1.1,11.2,6.4,57341,1.5,13.6
North Dakota,15.4,12.3,36.4,2.6,38.3,12,13.6,6.6,9.4,6.7,5.3,64577,1.7,10.6
Ohio,13.2,13.7,28.9,4.6,38.1,7.6,16.9,15.3,0.9,9.8,6.2,58642,2.4,13.1
Oklahoma,13.6,12.5,30.7,4.4,36.2,10.9,14.5,9.5,4.6,9,5.1,54449,2.9,15.2
Oregon,14.1,12.7,33.8,5,40.4,8.6,12.8,11.1,2.9,11,5.5,67058,3.1,11.4
Pennsylvania,13.3,14.1,24.3,4.5,40.3,8.1,14.3,11.5,1.3,10.6,6.4,63463,3.2,12
Rhode Island,14,14.3,26,4.2,42.2,6.9,12,10.9,0.4,10.8,6.4,71169,3.9,10.8
South Carolina,13,13.5,30.2,4.7,36.9,9.1,16,13.7,0.9,10.2,5.6,56227,1.1,13.8
South Dakota,12.9,13.2,32.4,3,39.2,9.9,14.2,10.7,6.5,6.4,7.6,59533,1.7,11.9
Tennessee,13.7,13.2,27.7,4.5,36.2,8.9,16.7,13.1,0.9,10.3,5.8,56071,1.6,13.9
Texas,14.6,11.3,28.7,4.4,37.6,10.6,13.4,8.5,2.9,11.7,6.7,64034,1.4,13.6
Utah,14.7,9.4,35.1,3.2,40.4,9.4,12.9,9.7,1.7,12.5,7.4,75780,1.3,8.9
Vermont,12.3,15.2,25.4,3.4,42.9,10.2,10.8,10.3,2.5,9,4.5,63001,2.6,10.2
Virginia,13.8,13.1,26.8,4,45.4,7.8,10.7,7,0.8,15.6,6.3,76456,1.7,9.9
Washington,15.3,12.6,32.6,4.6,43.3,9.6,11.7,9.5,2.6,14,5.1,78687,2.5,9.8
West Virginia,11.8,14.3,25.8,6,33.3,11.4,14.7,7.9,3.6,7.8,3.7,48850,3,16
Wisconsin,12.7,14.2,30.9,3.2,37.9,8.6,17.8,18.2,2,8.3,6.2,64168,1.6,10.4
Wyoming,13.2,13.3,35.3,3.6,36.3,15.4,11.7,3.8,11.4,7.8,4.5,65003,1.8,10.1
(blank),,,,,,,,,,,,,,
Grand Total,700.2,671.3,1501.7,224,2027.2,472,678.9,498.9,125,553.4,315.1,3341077,115.8,620.7
